期数,星期,红球,篮球,和值,AC,分列差,并列差,公式差,取模直,非AC尾,012路
2024126,7,"[14, 18, 23, 24, 26, 33]",10,138,8,"[9, 8, 1]","[4, 1, 7]","[8, 6, 5, 4, 4, 3]","[0, 3, 2]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[2, 0, 2, 0, 2, 0]"
2024127,2,"[2, 5, 13, 20, 27, 32]",10,99,9,"[0, 2, 7]","[3, 7, 5]","[8, 8, 6, 3, 2, 2]","[3, 4, 3]","[0, 2, 3, 4, 5, 6, 7, 8]","[2, 2, 1, 2, 0, 2]"
2024128,4,"[1, 8, 13, 18, 20, 26]",16,86,7,"[5, 2, 5]","[7, 5, 6]","[5, 9, 5, 3, 3, 2]","[2, 1, 2]","[1, 2, 3, 5, 6, 7, 9]","[1, 2, 1, 0, 2, 2]"
2024129,7,"[9, 10, 13, 19, 24, 32]",1,107,10,"[3, 4, 6]","[1, 6, 8]","[0, 9, 7, 4, 3, 2]","[5, 2, 3]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[0, 1, 1, 1, 0, 2]"
2024130,2,"[1, 8, 12, 17, 19, 24]",16,81,5,"[3, 1, 5]","[7, 5, 5]","[0, 9, 5, 3, 3, 2]","[3, 1, 1]","[0, 1, 2, 3, 5, 7, 9]","[1, 2, 0, 2, 1, 0]"
2024131,4,"[4, 5, 11, 15, 20, 32]",13,87,10,"[8, 5, 4]","[1, 4, 2]","[0, 6, 6, 4, 3, 1]","[3, 2, 3]","[0, 1, 2, 3, 4, 5, 6, 8]","[1, 2, 2, 0, 2, 2]"
2024132,7,"[1, 4, 25, 27, 28, 33]",3,118,8,"[2, 4, 2]","[3, 2, 5]","[7, 8, 3, 3, 3, 2]","[4, 3, 2]","[2, 3, 4, 5, 7, 8]","[1, 1, 1, 0, 1, 0]"
2024133,2,"[1, 11, 15, 27, 30, 33]",1,117,9,"[2, 9, 2]","[0, 2, 3]","[6, 9, 6, 3, 2, 2]","[3, 2, 1]","[0, 1, 2, 3, 6, 9]","[1, 2, 0, 0, 0, 0]"
2024134,4,"[2, 4, 13, 16, 18, 20]",16,73,6,"[8, 4, 3]","[2, 3, 2]","[5, 7, 4, 3, 3, 2]","[1, 3, 1]","[1, 2, 3, 4, 5, 7, 8]","[2, 1, 1, 1, 0, 2]"
2024135,7,"[5, 11, 17, 18, 30, 31]",13,112,5,"[6, 9, 1]","[6, 1, 1]","[1, 9, 5, 5, 2, 2]","[4, 2, 0]","[0, 1, 2, 4, 5, 6, 9]","[2, 2, 2, 0, 0, 1]"
2024136,2,"[3, 11, 15, 21, 25, 26]",3,101,8,"[3, 4, 6]","[8, 6, 1]","[2, 8, 5, 3, 3, 2]","[5, 1, 1]","[1, 2, 3, 4, 5, 6, 8]","[0, 2, 0, 0, 1, 2]"
2024137,4,"[4, 9, 10, 19, 26, 27]",12,95,8,"[3, 7, 9]","[5, 9, 1]","[2, 9, 8, 4, 2, 2]","[5, 0, 3]","[0, 1, 2, 3, 4, 5, 7, 8, 9]","[1, 0, 1, 1, 2, 0]"
2024138,7,"[2, 7, 11, 21, 27, 28]",2,96,10,"[6, 0, 0]","[5, 0, 1]","[7, 2, 7, 3, 2, 2]","[0, 1, 0]","[0, 1, 2, 3, 5, 6, 7]","[2, 1, 2, 0, 0, 1]"
2024139,2,"[15, 16, 20, 22, 23, 29]",14,125,6,"[4, 7, 2]","[1, 2, 6]","[7, 6, 5, 4, 4, 3]","[5, 0, 1]","[0, 1, 2, 3, 4, 5, 6, 7]","[0, 1, 2, 1, 2, 2]"
2024140,4,"[4, 7, 8, 17, 22, 26]",15,84,7,"[2, 5, 9]","[3, 9, 4]","[0, 1, 9, 3, 2, 2]","[0, 4, 0]","[0, 1, 2, 3, 4, 5, 9]","[1, 1, 2, 2, 1, 2]"
2024141,7,"[1, 2, 7, 15, 24, 29]",12,78,7,"[8, 2, 8]","[1, 8, 5]","[7, 8, 0, 4, 2, 1]","[0, 3, 2]","[0, 1, 2, 3, 4, 5, 7, 8]","[1, 2, 1, 0, 0, 2]"
2024142,2,"[4, 6, 13, 21, 22, 25]",6,91,9,"[1, 6, 8]","[2, 8, 3]","[1, 4, 6, 3, 3, 2]","[1, 1, 3]","[1, 2, 3, 4, 6, 8]","[1, 0, 1, 0, 1, 1]"
2024143,4,"[2, 5, 11, 22, 30, 33]",10,103,7,"[1, 5, 1]","[3, 1, 3]","[0, 9, 8, 3, 2, 2]","[1, 3, 3]","[0, 1, 2, 3, 5, 8, 9]","[2, 2, 2, 1, 0, 0]"
2024144,7,"[2, 9, 11, 17, 20, 30]",11,89,9,"[8, 1, 6]","[7, 6, 0]","[3, 8, 7, 4, 3, 1]","[5, 4, 1]","[0, 1, 3, 4, 5, 6, 7, 8]","[2, 0, 2, 2, 2, 0]"
2024145,2,"[1, 3, 16, 22, 23, 30]",3,95,9,"[9, 0, 6]","[2, 6, 7]","[4, 0, 4, 3, 3, 2]","[5, 0, 3]","[0, 2, 3, 4, 5, 6, 7, 9]","[1, 0, 1, 1, 2, 0]"
2024146,4,"[2, 4, 11, 22, 27, 32]",10,98,9,"[0, 3, 1]","[2, 1, 5]","[8, 3, 7, 3, 2, 2]","[2, 3, 2]","[0, 1, 2, 3, 5, 7, 8]","[2, 1, 2, 1, 0, 2]"
2024147,7,"[5, 11, 13, 16, 21, 30]",10,96,8,"[5, 0, 3]","[6, 3, 9]","[8, 7, 6, 5, 3, 2]","[0, 1, 0]","[0, 1, 2, 3, 5, 6, 7, 8, 9]","[2, 2, 1, 1, 0, 0]"
2024148,2,"[2, 6, 15, 16, 21, 23]",11,83,10,"[1, 5, 1]","[4, 1, 2]","[0, 2, 4, 4, 2, 2]","[5, 3, 3]","[0, 1, 2, 3, 4, 5]","[2, 0, 0, 1, 0, 2]"
2024149,4,"[3, 9, 16, 17, 18, 22]",16,85,7,"[9, 9, 1]","[6, 1, 4]","[7, 8, 4, 4, 3, 2]","[1, 0, 1]","[0, 1, 2, 3, 4, 6, 7, 8, 9]","[0, 0, 1, 2, 0, 1]"
2024150,7,"[13, 14, 20, 22, 26, 32]",2,127,7,"[9, 2, 2]","[1, 2, 6]","[8, 8, 5, 4, 3, 2]","[1, 2, 3]","[1, 2, 3, 4, 5, 6, 8, 9]","[1, 2, 2, 1, 2, 2]"
2024151,2,"[5, 10, 16, 19, 29, 32]",4,111,8,"[7, 9, 3]","[5, 3, 3]","[1, 0, 5, 4, 2, 2]","[3, 1, 3]","[0, 1, 2, 3, 4, 5, 7, 9]","[2, 1, 1, 1, 2, 2]"
2025001,4,"[2, 3, 17, 18, 22, 33]",16,95,6,"[1, 9, 1]","[1, 1, 1]","[6, 0, 4, 4, 3, 1]","[5, 0, 3]","[0, 1, 3, 4, 5, 6, 9]","[2, 0, 2, 0, 1, 0]"
2025002,7,"[9, 12, 13, 15, 22, 26]",11,97,7,"[7, 0, 2]","[3, 2, 4]","[9, 7, 6, 5, 3, 2]","[1, 2, 1]","[0, 1, 2, 3, 4, 5, 6, 7, 9]","[0, 0, 1, 0, 1, 2]"
2025003,2,"[10, 19, 20, 26, 28, 29]",15,132,6,"[9, 9, 6]","[9, 6, 1]","[2, 5, 5, 4, 3, 3]","[0, 2, 0]","[0, 1, 2, 3, 4, 5, 6, 9]","[1, 1, 2, 2, 1, 2]"
2025004,4,"[3, 7, 17, 27, 29, 32]",4,115,9,"[9, 2, 0]","[4, 0, 3]","[7, 5, 5, 3, 2, 2]","[1, 0, 3]","[0, 1, 2, 3, 4, 5, 7, 9]","[0, 1, 2, 0, 2, 2]"
